StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4#1_1,Q4#1_2,Q4#1_3,Q4#1_4,Q4#1_5,Q4#1_6,Q4#2_1,Q4#2_2,Q4#2_3,Q4#2_4,Q4#2_5,Q4#2_6,Q4#3_1_1,Q4#3_2_1,Q4#3_3_1,Q4#3_4_1,Q4#3_5_1,Q4#3_6_1,Q4#4_1,Q4#4_2,Q4#4_3,Q4#4_4,Q4#4_5,Q4#4_6,Q4#5_1,Q4#5_2,Q4#5_3,Q4#5_4,Q4#5_5,Q4#5_6,Q4#6_1,Q4#6_2,Q4#6_3,Q4#6_4,Q4#6_5,Q4#6_6,Q4#7_1_1,Q4#7_2_1,Q4#7_3_1,Q4#7_4_1,Q4#7_5_1,Q4#7_6_1,Q5,Q6,Q7,Q8,id_participant
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Participant ID,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Humming,Please rate the following behaviors and redirections: - Did behavior occur? - Dev Rocketry,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Whispering,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Texting,Please rate the following behaviors and redirections: - Did behavior occur? - Ethan Singing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Humming,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Dev Rocketry,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Whispering,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Texting,Please rate the following behaviors and redirections: - Did teacher acknowledge behavior? - Ethan Singing,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Time between behavior and acknowledgement? - Ethan Singing - In seconds,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Humming,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Dev Rocketry,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Whispering,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Texting,Please rate the following behaviors and redirections: - Did redirection include specific bodily cue? - Ethan Singing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Humming,Please rate the following behaviors and redirections: - Was redirection cut off? - Dev Rocketry,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Whispering,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Beatboxing,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Texting,Please rate the following behaviors and redirections: - Was redirection cut off? - Ethan Singing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Humming,Please rate the following behaviors and redirections: - Reason for cut off - Dev Rocketry,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Whispering,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Beatboxing,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Texting,Please rate the following behaviors and redirections: - Reason for cut off - Ethan Singing,Please rate the following behaviors and redirections: - Length of redirection - Ethan Humming - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Dev Rocketry - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Whispering - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Beatboxing - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Texting - In seconds,Please rate the following behaviors and redirections: - Length of redirection - Ethan Singing - In seconds,How would you describe the teacher's affect?,"Using evidence from the video, provide two points of rationale to support your description of the teacher's affect.",Overall Score: Please rate the video from 1 (low) to 10 (high) based on the following question: To what extent did the teacher's actions support the students in creating classroom rules and expectations?,Provide rationale for the overall score you gave.,nonid
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3#1_1""}","{""ImportId"":""QID3#1_2""}","{""ImportId"":""QID3#1_3""}","{""ImportId"":""QID3#1_4""}","{""ImportId"":""QID3#1_5""}","{""ImportId"":""QID3#1_6""}","{""ImportId"":""QID3#2_1""}","{""ImportId"":""QID3#2_2""}","{""ImportId"":""QID3#2_3""}","{""ImportId"":""QID3#2_4""}","{""ImportId"":""QID3#2_5""}","{""ImportId"":""QID3#2_6""}","{""ImportId"":""QID3#3_1_1""}","{""ImportId"":""QID3#3_2_1""}","{""ImportId"":""QID3#3_3_1""}","{""ImportId"":""QID3#3_4_1""}","{""ImportId"":""QID3#3_5_1""}","{""ImportId"":""QID3#3_6_1""}","{""ImportId"":""QID3#4_1""}","{""ImportId"":""QID3#4_2""}","{""ImportId"":""QID3#4_3""}","{""ImportId"":""QID3#4_4""}","{""ImportId"":""QID3#4_5""}","{""ImportId"":""QID3#4_6""}","{""ImportId"":""QID3#5_1""}","{""ImportId"":""QID3#5_2""}","{""ImportId"":""QID3#5_3""}","{""ImportId"":""QID3#5_4""}","{""ImportId"":""QID3#5_5""}","{""ImportId"":""QID3#5_6""}","{""ImportId"":""QID3#6_1""}","{""ImportId"":""QID3#6_2""}","{""ImportId"":""QID3#6_3""}","{""ImportId"":""QID3#6_4""}","{""ImportId"":""QID3#6_5""}","{""ImportId"":""QID3#6_6""}","{""ImportId"":""QID3#7_1_1""}","{""ImportId"":""QID3#7_2_1""}","{""ImportId"":""QID3#7_3_1""}","{""ImportId"":""QID3#7_4_1""}","{""ImportId"":""QID3#7_5_1""}","{""ImportId"":""QID3#7_6_1""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}",nonid
2018-08-05 11:52:20,2018-08-05 12:08:22,IP Address,73.12.28.114,100,962,True,2018-08-05 12:08:22,R_1DG1LFyukbYExE4,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,10,19,,6,8,11,No,No,,No,No,No,Yes,Yes,,Yes,Yes,Yes,Next behavior,Next behavior,,Next behavior,Next behavior,Sim ended,31,38,,54,43,20,Slightly annoyed,Some hand wringing. Some eyebrow raising and eye rolling. ,2,Note: order of whispering and beatboxing behaviors was switched by actor ,1_1819_1_1
2018-08-05 12:28:36,2018-08-05 12:30:57,IP Address,73.12.28.114,100,141,True,2018-08-05 12:30:57,R_zbNDFbpkHNBY653,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30,21,6,7,2,,No,No,No,Yes,No,,Yes,Yes,Yes,No,Yes,,Next behavior,Next behavior,Next behavior,,Next behavior,,21,34,55,4,45,,Flustered,Nervous laughter. Moving body a lot. Tone of voice is exasperated at times.,3,,1_1819_1_2
2018-08-05 12:50:12,2018-08-05 12:55:15,IP Address,73.12.28.114,100,302,True,2018-08-05 12:55:15,R_1LSRL5gAU8hCSjT,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,29,11,3,9,4,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,,Next behavior,,,,,22,44,47,22,6,6,Mostly calm,"Does not raise voice. Relaxed body movements. Very subtle signs of being irritated, such as micro eyebrow raising and subtle changes to tone of voice. ",6,,1_1819_1_3
2018-08-05 13:06:06,2018-08-05 13:10:16,IP Address,73.12.28.114,100,250,True,2018-08-05 13:10:17,R_21aEOkZyCCNB3UR,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,7,2,4,3,7,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,,,,,,Sim ended,29,14,13,5,12,29,calm,relaxed body movements. does not raise voice. tone of voice is cheerful. ,7,,1_1819_1_4
2018-08-05 13:23:56,2018-08-05 13:26:11,IP Address,73.12.28.114,100,134,True,2018-08-05 13:26:11,R_1kZgh53W7n6CUOi,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,20,7,1,11,5,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Next behavior,,Next behavior,Next behavior,,Sim ended,54,29,39,47,12,15,Mix of calm and nervous,Some nervous laughter. Tone of voice is appropriate mix of warm and firm. Does not raise voice. Uses polite language like please and thank you.,4,,1_1819_1_5
2018-08-05 13:35:27,2018-08-05 13:36:53,IP Address,73.12.28.114,100,85,True,2018-08-05 13:36:54,R_10HowcOaJFyvEoZ,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,9,14,25,2,5,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,41,50,35,21,51,21,Flustered,Nervous laugher. Raises voice to talk over sound of misbehavior.,3,,nonid
2018-08-05 13:46:14,2018-08-05 13:49:18,IP Address,73.12.28.114,100,183,True,2018-08-05 13:49:18,R_1IHhRu9mq6nXHch,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,10,1,9,7,4,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Next behavior,Next behavior,Next behavior,,,,43,48,53,22,20,6,Mostly calm,Some nervous laughter. Tone of voice is mostly warm but appropriately firm at times. Uses polite language. Relaxed body movements. ,5,,1_1819_1_7
2018-08-05 13:59:10,2018-08-05 14:00:28,IP Address,73.12.28.114,100,78,True,2018-08-05 14:00:29,R_2EbO2SMvelFLzQ6,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,16,5,19,11,5,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Next behavior,,,,,,34,21,30,14,4,29,Calm,Tone of voice is warm. Relaxed body movements. Smiling appropriately,6,,1_1819_1_8
2018-08-05 14:09:04,2018-08-05 14:10:53,IP Address,73.12.28.114,100,108,True,2018-08-05 14:10:53,R_RxiMfa8Z2mXoKyZ,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,5,9,5,5,18,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Next behavior,Next behavior,Next behavior,,Next behavior,Sim ended,47,46,50,33,43,18,Slightly annoyed,Some eye rolling and raised eyebrows. Nervous laughter.,3,,nonid
2018-08-05 14:21:05,2018-08-05 14:25:19,IP Address,73.12.28.114,100,254,True,2018-08-05 14:25:20,R_3MKGYMsxPyBLGUT,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,10,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,9,22,,2,4,6,No,Yes,,No,Yes,No,Yes,No,,Yes,No,Yes,Next behavior,,,Next behavior,,Sim ended,48,15,,108,29,19,Slightly annoyed,Warm in beginning of video but becomes slightly annoyed over time. Raised eyebrows and some frowning. Hands behind back. Tone of voice is sarcastic at times.,3,,1_1819_1_10
2018-08-05 14:43:23,2018-08-05 14:48:06,IP Address,73.12.28.114,100,283,True,2018-08-05 14:48:07,R_3J8Uni8D6jnp87B,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18,5,12,25,3,15,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,,,Next behavior,,Next behavior,Sim ended,28,31,46,14,44,15,Mix of calm and slightly annoyed,Tone of voice is mostly engaging/warm but slightly sarcastic at times. Some frowning. ,4,,nonid
2018-08-05 14:57:56,2018-08-05 14:59:05,IP Address,73.12.28.114,100,68,True,2018-08-05 14:59:05,R_3fGC5SZoMR2fB5z,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,6,6,7,9,3,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,44,50,47,35,50,21,Nervous,Very soft spoken. Hands in pockets. Nervous laughter.,3,,1_1819_1_13
2018-08-05 15:07:48,2018-08-05 15:09:03,IP Address,73.12.28.114,100,75,True,2018-08-05 15:09:03,R_tSbHEMIidxRfVv3,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,12,4,4,10,19,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,41,50,46,36,48,10,Mix of calm and slightly irritated,Tone of voice is mostly calm. Some raised eyebrows and nervous laughter.,3,,1_1819_1_16
2018-08-05 15:34:19,2018-08-05 15:35:35,IP Address,73.12.28.114,100,76,True,2018-08-05 15:35:36,R_2Bmxm5KnrvEvxBD,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,7,4,15,6,23,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,44,45,61,28,39,4,Irritated ,"Tone of voice is mostly warm but some eye rolling, raised eyebrows, and frowning.",3,,nonid
2018-08-05 15:44:21,2018-08-05 15:45:39,IP Address,73.12.28.114,100,77,True,2018-08-05 15:45:39,R_2at0mjUOrK88m3L,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,4,5,18,3,14,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,,,,Next behavior,Next behavior,Sim ended,31,36,52,23,51,16,Flustered,Hand wringing. Nervous laughter.,4,,1_1819_1_18
2018-08-05 15:55:11,2018-08-05 15:56:30,IP Address,73.12.28.114,100,78,True,2018-08-05 15:56:30,R_231aF0BchvjSa4m,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,9,5,11,6,3,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Next behavior,,Next behavior,,,Sim ended,39,11,53,5,12,27,Calm,Tone of voice is appropriate mix of warm and firm. Relaxed body movements.,5,,1_1819_1_19
2018-08-05 16:06:49,2018-08-05 16:08:12,IP Address,73.12.28.114,100,82,True,2018-08-05 16:08:12,R_3KwoYPtigvaUcJ0,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,15,9,13,2,6,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,,Next behavior,Next behavior,Next behavior,,Sim ended,31,46,46,30,32,22,Annoyed,Raises eyebrows. Tone of voice is slightly sarcastic at times. Some sighing.,4,,1_1819_1_20
2018-08-05 17:01:04,2018-08-05 17:02:26,IP Address,73.12.28.114,100,82,True,2018-08-05 17:02:26,R_5bDVApjkKtHb4cN,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,6,9,1,9,15,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,43,51,38,48,48,10,Mostly calm,Relaxed body movements. Does not raise voice. Some nervous laughter. ,3,,1_1819_1_22
2018-08-05 17:10:23,2018-08-05 17:12:12,IP Address,73.12.28.114,100,109,True,2018-08-05 17:12:13,R_vxAsWOZbCkyAb2V,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,23,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,24,5,6,2,4,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Next behavior,Next behavior,Next behavior,,,Sim ended,45,36,48,10,19,26,Calm,Does not raise voice. Tone is appropriately warm and firm. ,4,,1_1819_1_23
2018-08-05 17:21:08,2018-08-05 17:22:19,IP Address,73.12.28.114,100,71,True,2018-08-05 17:22:20,R_bPgBz4gAEOuRUv7,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,13,30,1,6,26,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Next behavior,Next behavior,Next behavior,Next behavior,Next behavior,Sim ended,45,43,26,43,47,2,Flustered,Nervous laughter. Sighs. Drops head down often as if feeling defeated.,3,,nonid
2018-08-05 17:30:56,2018-08-05 17:32:48,IP Address,73.12.28.114,100,112,True,2018-08-05 17:32:48,R_2ZTBAEJK2bUgddM,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,11,7,29,7,,2,No,No,No,No,,No,Yes,Yes,Yes,Yes,,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,44,47,21,41,,27,Flustered,A lot of nervous laughter. Hands on hips. Some sighing. ,3,,1_1819_1_25
2018-08-05 17:45:20,2018-08-05 17:47:39,IP Address,73.12.28.114,100,138,True,2018-08-05 17:47:39,R_1DBI5PdPXneIE15,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,19,29,15,16,3,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,43,36,27,34,5,29,Irritated,"Some eye rolling, raised eyebrows, frowning.",3,,1_1819_1_26
2018-08-05 18:02:14,2018-08-05 18:04:05,IP Address,73.12.28.114,100,110,True,2018-08-05 18:04:05,R_3qKijgYoFUfvtut,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,17,6,4,6,12,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Next behavior,,Next behavior,Next behavior,,Sim ended,37,17,49,38,50,8,Mostly calm,Does not raise voice. Tone is mostly warm and appropriately firm at times. Some nervous laughter. ,4,,1_1819_1_27
2018-08-05 18:15:06,2018-08-05 18:16:50,IP Address,73.12.28.114,100,104,True,2018-08-05 18:16:52,R_1gnji4x30npxEA1,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,28,34,8,6,4,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Next behavior,Next behavior,,Next behavior,,Sim ended,43,31,19,32,24,24,Mostly calm,Tone of voice is mostly warm and appropriately firm at times. Some nervous laughter. ,4,,1_1819_1_28
2018-08-05 18:30:52,2018-08-05 18:34:43,IP Address,73.12.28.114,100,231,True,2018-08-05 18:34:43,R_3G1lmhcooudLbDX,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,25,5,9,5,3,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,,Next behavior,Next behavior,Next behavior,,Sim ended,12,24,46,40,9,17,Nervous,A lot of hand wringing. Asks to pause simulation. A little soft spoken.,4,,1_1819_1_29
2018-08-05 18:49:27,2018-08-05 18:50:42,IP Address,73.12.28.114,100,75,True,2018-08-05 18:50:43,R_6J4TzEvzgaFbP0t,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,10,11,6,7,4,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Next behavior,Next behavior,,Next behavior,,,46,46,13,41,7,12,Mostly calm,Swaying side to side. Tone of voice is firm but not rude or sarcastic. Uses polite language.,5,,1_1819_1_30
2018-08-05 18:58:57,2018-08-05 19:01:00,IP Address,73.12.28.114,100,122,True,2018-08-05 19:01:00,R_1hZr2EXhRsfD7XY,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,6,2,1,4,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,32,46,43,27,6,16,Calm,Tone of voice is appropriate mix of warm and firm. Relaxed body movements. Uses polite language. ,7,,nonid
2018-08-05 19:09:23,2018-08-05 19:12:01,IP Address,73.12.28.114,100,158,True,2018-08-05 19:12:01,R_3scDJIJrurs4Wm5,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6,4,5,29,15,,Yes,Yes,No,No,No,,No,No,Yes,Yes,Yes,,,,Next behavior,Next behavior,Next behavior,,45,11,51,20,31,,Mostly calm,Tone of voice is mostly warm and appropriately firm at times. Some nervous laughter. ,4,,nonid
2018-08-05 19:19:53,2018-08-05 19:21:59,IP Address,73.12.28.114,100,126,True,2018-08-05 19:22:00,R_RyHBAThdoPmFxHX,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,10,6,26,7,11,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,39,46,50,19,6,24,Mostly calm,Tone of voice is cheerful. Uses polite language. Some nervous laughter. ,4,,nonid
2018-08-07 09:37:14,2018-08-07 09:42:46,IP Address,73.147.163.181,100,331,True,2018-08-07 09:42:46,R_1IvjGi0jmk3mviB,,,,,37.953903198242,-78.3583984375,anonymous,EN,Rebekah,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,6,3,2,3,5,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,33,17,15,7,13,30,Perky but a bit flustered,Smiling the whole time and positive tone but eyes were darting and color was rising. Seemed to become more nervous throughout. ,7,Effectively redirected all behaviors. Sometimes follow up went on for a long time so she was not efficient yet.,1_1819_1_4
2018-08-07 09:42:50,2018-08-07 09:59:28,IP Address,73.147.163.181,100,998,True,2018-08-07 09:59:28,R_2uTZTyXMcnb2Xzh,,,,,37.953903198242,-78.3583984375,anonymous,EN,Rebekah,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,11,2,8,7,4,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,43,49,52,23,21,6,Dejected,Her eyes kept getting bit and she was glancing around and slumping during the first part. She seemed to get more confident as it went on.,4,Mixed success redirecting student behavior. Majority of dialogue was about behavior not classroom norms. ,1_1819_1_7
2018-08-07 09:59:34,2018-08-07 11:47:38,IP Address,73.147.163.181,100,6484,True,2018-08-07 11:47:38,R_31GhKJdnsBr16mO,,,,,37.953903198242,-78.3583984375,anonymous,EN,Rebekah,10,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,10,22,,5,4,6,No,Yes,,No,Yes,No,Yes,No,,Yes,No,Yes,Next behavior,,,Next behavior,,Sim ended,48,17,,107,30,20,Cocky and bizarre,Purses lips and laughs to self a lot. Kind of swaggers. It was veryâ€¦ odd.,3,Successfully redirects a few behaviors but takes so long that no classroom norms are generated by students.,1_1819_1_10
2018-08-07 11:52:36,2018-08-07 12:17:28,IP Address,73.147.163.181,100,1492,True,2018-08-07 12:17:29,R_12KljPCm011KbHF,,,,,37.953903198242,-78.3583984375,anonymous,EN,Rebekah,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,18,5,4,7,12,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Next behavior,,Next behavior,Next behavior,Next behavior,Sim ended,37,20,49,39,51,9,calm but became Increasingly frustrated,Started relaxed smiling and loose limbed. By end was pressing lips together and taking deep breaths before speaking. Also rolled eyes once,3,Ineffectively addressed most behaviors and became less calm throughout simulation.,1_1819_1_27
2018-08-07 12:17:33,2018-08-07 12:48:18,IP Address,73.147.163.181,100,1845,True,2018-08-07 12:48:18,R_302Go308Bnzc5q2,,,,,37.953903198242,-78.3583984375,anonymous,EN,Rebekah,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,10,13,7,7,4,No,No,No,Yes,Yes,Yes,,,,,,,,,,,,,46,46,14,41,8,14,Flat slightly annoyed,Rolled neck and eyes otherwise little variation in tone or stance.,5,,1_1819_1_30
2018-08-16 12:42:59,2018-08-16 12:44:55,IP Address,73.12.28.114,100,115,True,2018-08-16 12:44:55,R_1j81kDKdfUHdfta,,,,,38.088806152344,-78.559196472168,anonymous,EN,Kelly,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,11,4,2,3,11,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Next behavior,Next behavior,Next behavior,Next behavior,,Sim ended,35,47,53,37,23,18,Calm but slightly annoyed,"Tone of voice is mostly appropriate mix of warm and firm, but some slight sarcasm at times. Some very slight raised eyebrows and frowning. Some nervous laughter.",4,,nonid
